,response latency,response window,reward window,early lick times,stim-evoked lick times,reward-evoked lick times,ITI-evoked lick times,early lick?,trialType,validated outcomes,previous outcome,trial type
10,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
11,0.7375500000000001,1.26245,1.9838,[],"[0.7375500000000001, 0.76335, 0.8875500000000001, 0.9311500000000001, 1.0417500000000004, 1.09565, 1.2075500000000003, 1.2613000000000003, 1.3778499999999996, 1.4346500000000004, 1.54685, 1.5971000000000002, 1.7078499999999996, 1.7637, 1.85895, 1.9234499999999999]","[2.0162000000000004, 2.0665500000000003, 2.17535, 2.2048500000000004, 2.3029, 2.3118, 2.4110500000000004, 2.44505, 2.5312, 2.5719000000000003, 2.66305, 2.70345, 2.78765, 2.83385, 2.9246, 2.97095, 3.0637, 3.1111500000000003, 3.2001, 3.2496, 3.3438999999999997, 3.39365, 3.4852499999999997, 3.5383500000000003, 3.63455, 3.6908000000000003, 3.78965, 3.84455, 3.9452499999999997]","[4.0048, 4.0947, 4.15015, 4.25955, 4.3076, 4.40105, 4.4541, 4.55175, 4.6046, 4.706, 4.76885]",False,G,hit,CR,nHIT
12,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
13,0.4631500000000002,1.5368499999999998,1.94085,"[-0.46225000000000005, -0.4219499999999998, -0.2520500000000001, -0.20029999999999992, -0.07545000000000002, -0.01924999999999999]","[0.4631500000000002, 0.5121000000000002, 0.7815500000000002, 0.82605, 0.9525999999999999, 0.984, 1.1099500000000004, 1.15055, 1.25995, 1.3095999999999997, 1.4191000000000003, 1.4873500000000002, 1.5856000000000003, 1.6364999999999998, 1.7417999999999996, 1.7914000000000003, 1.8956, 1.9695999999999998]","[2.05915, 2.11085, 2.4052499999999997, 2.4419000000000004, 2.5197000000000003, 2.5646500000000003, 2.6430499999999997, 2.68745, 2.7779499999999997, 2.8274, 2.9130000000000003, 2.9635999999999996, 3.0538499999999997, 3.10445, 3.1917, 3.2405999999999997, 3.3343, 3.3857999999999997, 3.4774000000000003, 3.5243, 3.62265, 3.6736500000000003, 3.7742500000000003, 3.82655, 3.9326999999999996, 3.9791999999999996]","[4.076, 4.13885, 4.23745, 4.2937, 4.39835, 4.4564, 4.5565, 4.6163, 4.71, 4.7686, 4.883, 4.9438]",True,G,early lick,CR,early lick
14,0.0,0.0,0.0,[],[],[],[],False,N,CR,early lick,post-mistake-CATCH
15,0.5627499999999999,1.43725,1.9509,[],"[0.5627499999999999, 0.5987499999999999, 0.7206000000000001, 0.7671000000000001, 0.89365, 0.9430000000000001, 1.0556999999999999, 1.1082999999999998, 1.2178500000000003, 1.2737499999999997, 1.3732499999999996, 1.4292499999999997, 1.53165, 1.5856500000000002, 1.6824500000000002, 1.7398499999999997, 1.8421500000000002, 1.8943000000000003, 1.9911500000000002]","[2.0491, 2.14185, 2.1967499999999998, 2.5158500000000004, 2.56205, 2.6423500000000004, 2.6851000000000003, 2.7742500000000003, 2.8251, 2.9115, 2.9627, 3.0541, 3.1018999999999997, 3.1925499999999998, 3.24505, 3.33845, 3.3958000000000004, 3.4944499999999996, 3.5538499999999997, 3.65125, 3.70205, 3.79565, 3.859, 3.9499500000000003]","[4.0052, 4.10935, 4.1669, 4.27105, 4.33875, 4.3482, 4.3601, 4.4516, 4.5026, 4.59735, 4.654, 4.74745, 4.8057, 4.91335, 4.9784]",False,G,hit,CR,nHIT
16,0.2791000000000001,1.7209,1.87475,[],"[0.2791000000000001, 0.2930999999999999, 0.9018999999999999, 0.9474999999999998, 1.0723500000000001, 1.1277999999999997, 1.2716000000000003, 1.3247499999999999, 1.4383499999999998, 1.4926000000000004, 1.6183500000000004, 1.6739499999999996, 1.7801999999999998, 1.8345500000000001, 1.9442500000000003, 1.9975500000000004]","[2.1252500000000003, 2.1755000000000004, 2.37995, 2.4132, 2.4962, 2.5355, 2.62425, 2.6729000000000003, 2.7490500000000004, 2.8044000000000002, 2.8853999999999997, 2.9369500000000004, 3.024, 3.0759, 3.1629500000000004, 3.2144500000000003, 3.30485, 3.35625, 3.4515000000000002, 3.51215, 3.6007, 3.6553500000000003, 3.7572, 3.8296, 3.9193499999999997, 3.9682000000000004]","[4.0814, 4.1377, 4.2293, 4.29315, 4.40095, 4.4633, 4.56595, 4.6383, 4.7424, 4.81335, 4.8247, 4.83045, 4.9339, 4.99285]",False,G,hit,hit,cHIT
17,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
18,0.7164999999999999,1.2835,1.9446000000000003,[],"[0.7164999999999999, 0.76065, 0.8873000000000002, 0.9435500000000001, 1.0500499999999997, 1.1154000000000002, 1.2302499999999998, 1.2843999999999998, 1.3914999999999997, 1.4562, 1.5545, 1.6154000000000002, 1.7146, 1.7692500000000004, 1.8784999999999998, 1.9408500000000002]","[2.0553999999999997, 2.0976999999999997, 2.3212, 2.3509, 2.4345999999999997, 2.4764, 2.5582000000000003, 2.6042500000000004, 2.6934500000000003, 2.73705, 2.82475, 2.8758999999999997, 2.9640500000000003, 3.0126999999999997, 3.09785, 3.1510999999999996, 3.2433500000000004, 3.293, 3.3859500000000002, 3.43865, 3.5349000000000004, 3.5904499999999997, 3.68185, 3.7394499999999997, 3.8296, 3.8851500000000003, 3.9830500000000004]","[4.03325, 4.1354, 4.1934, 4.29645, 4.3543, 4.4475, 4.5056, 4.6159, 4.6745, 4.78075, 4.8379, 4.9472, 4.9994]",False,G,hit,CR,nHIT
19,0.0,0.0,0.8091999999999997,[],[],"[3.1908000000000003, 3.2415000000000003, 3.3738, 3.4410999999999996, 3.56825, 3.6146000000000003, 3.7686, 3.8179, 3.9261999999999997, 3.9861500000000003]","[4.09215, 4.147, 4.26465, 4.31625, 4.4114, 4.4624, 4.56925, 4.61425, 4.71125, 4.77235, 4.86545, 4.92125]",False,N,CR,hit,nCATCH
